date,symbol,name,direction,entryTime,exitTime,entryPrice,exitPrice,profit,profitPct,holdBars,stopReason,regime
2026-03-24,6976,太陽誘電,short,09:56,10:09,4029,4042,-3900,-0.323,13,"空売り同値損切り",down
2026-03-27,3778,さくらインターネット,short,09:55,10:13,2639,2657,-9000,-0.682,17,"空売り損切り",up
2026-03-27,3778,さくらインターネット,long,11:05,11:20,2670,2655,-7500,-0.562,15,"昼休み前強制決済",up
2026-03-27,6981,村田製作所,short,09:50,10:11,3641,3666,-10000,-0.687,21,"空売り損切り",up
2026-03-27,6976,太陽誘電,long,11:07,11:20,4069,4059,-3000,-0.246,13,"昼休み前強制決済",up
2026-03-30,3436,SUMCO,short,09:53,10:31,1739,1741,-1600,-0.115,38,"空売り同値損切り",down
2026-04-01,6976,太陽誘電,long,10:50,11:11,3962,3956,-1800,-0.151,21,"同値損切り",neutral
2026-04-01,3436,SUMCO,long,11:20,11:21,1730,1728,-1600,-0.116,1,"昼休み前強制決済",neutral
2026-04-02,3778,さくらインターネット,short,11:26,11:27,2476,2477,-500,-0.040,1,"昼休み前強制決済",down
2026-04-02,6976,太陽誘電,short,11:26,11:27,3859,3860,-300,-0.026,1,"昼休み前強制決済",down
2026-04-02,6976,太陽誘電,short,11:28,11:29,3861,3862,-300,-0.026,1,"昼休み前強制決済",down
2026-04-02,3436,SUMCO,short,11:29,11:30,1687,1688,-800,-0.059,1,"昼休み前強制決済",down
2026-04-08,6981,村田製作所,short,10:20,10:28,3935,3959,-7200,-0.610,8,"空売り損切り",neutral
2026-04-10,6981,村田製作所,long,10:16,11:20,4143,4122,-6300,-0.507,64,"昼休み前強制決済",up
2026-04-10,6976,太陽誘電,long,09:49,11:14,4972,4965,-1400,-0.141,85,"同値損切り",up
2026-04-13,6981,村田製作所,long,10:15,11:20,4184,4153,-9300,-0.741,65,"昼休み前強制決済",up
2026-04-15,6976,太陽誘電,long,10:18,11:00,5776,5740,-7200,-0.623,42,"同値損切り",down
2026-04-15,3436,SUMCO,short,10:44,10:53,2212,2219,-4500,-0.339,9,"空売り同値損切り",down
2026-04-23,6976,太陽誘電,short,10:45,11:06,6025,6061,-7200,-0.598,21,"空売り損切り",down
2026-04-24,3778,さくらインターネット,short,10:21,10:55,3545,3565,-8000,-0.564,32,"空売り損切り",down
2026-04-24,6981,村田製作所,short,10:19,11:04,4919,4945,-5200,-0.529,45,"空売り買い戻し: 最大保有時間超過",down
2026-04-24,6976,太陽誘電,short,10:02,10:26,6463,6502,-7800,-0.603,24,"空売り損切り",down
2026-04-24,3436,SUMCO,short,11:26,11:27,2196,2199,-1800,-0.137,1,"昼休み前強制決済",down
2026-04-27,6981,村田製作所,long,10:19,11:20,4906,4892,-2800,-0.285,61,"昼休み前強制決済",neutral
2026-04-28,6976,太陽誘電,long,10:25,11:20,6594,6592,-400,-0.030,55,"昼休み前強制決済",neutral
2026-05-12,6976,太陽誘電,short,10:58,11:07,6594,6640,-9200,-0.698,9,"空売り損切り",down
2026-05-12,3436,SUMCO,short,11:20,11:21,3613,3616,-1200,-0.083,1,"昼休み前強制決済",down
2026-05-14,6976,太陽誘電,long,10:50,11:20,7124,7027,-19400,-1.362,30,"昼休み前強制決済",up
2026-05-15,3778,さくらインターネット,short,10:22,10:40,3080,3105,-10000,-0.812,11,"空売り損切り",down
2026-05-15,6981,村田製作所,short,10:34,10:36,6362,6405,-8600,-0.676,2,"空売り損切り",down
2026-05-15,6981,村田製作所,short,11:21,11:22,6297,6306,-1800,-0.143,1,"昼休み前強制決済",down
2026-05-15,6976,太陽誘電,short,10:32,10:33,7030,7076,-9200,-0.654,1,"空売り損切り",down
2026-05-19,6981,村田製作所,short,11:24,11:25,6184,6187,-600,-0.049,1,"昼休み前強制決済",down
2026-05-19,3436,SUMCO,short,11:26,11:27,2956,2962,-2400,-0.203,1,"昼休み前強制決済",down
2026-05-22,3436,SUMCO,long,10:09,10:49,3291,3287,-1600,-0.122,40,"同値損切り",up
2026-05-26,3778,さくらインターネット,short,10:34,10:46,3070,3090,-8000,-0.651,12,"空売り損切り",down
2026-05-26,6981,村田製作所,short,09:59,10:01,8050,8098,-4800,-0.596,2,"空売り損切り",down
2026-05-27,3778,さくらインターネット,short,11:14,11:20,3090,3095,-2000,-0.162,4,"昼休み前強制決済",down
2026-05-27,6981,村田製作所,short,10:38,10:40,7946,7990,-4400,-0.554,2,"空売り損切り",down
